ID;Название тест-кейса;Раздел;Приоритет;Предусловия;Шаги выполнения;Ожидаемый результат;Фактический результат;Статус;Автоматизация;Причина если не автоматизируется
TC-15;Стресс-тестирование навигационных кнопок;Навигация;Низкий;На главном экране;1. Быстро тапнуть "ВСЕ НОВОСТИ" 10 раз подряд¶2. Проверить реакцию приложения¶3. Повторить для кнопок перехода в другие разделы¶4. Проверить стабильность работы;Нет крашей, корректная обработка множественных нажатий, нет дублей экранов;Приложение не крашится, навигация обрабатывается корректно, дублей нет;Pass;Нет;Требуется стресс-тестирование и проверка на разных устройствах
TC-16;Проверка отображения и работы элементов во время загрузки;Производительность;Средний;На главном экране во время обновления;1. Запустить обновление (свайп вниз)¶2. Во время загрузки проверить:¶   - Видимость заголовка¶   - Кликабельность кнопок¶   - Возможность свайпа¶   - Индикатор загрузки;Индикатор загрузки отображается, интерфейс частично блокируется;Индикатор загрузки виден, интерфейс доступен, но навигация работает;Pass (с замечанием);Да;
TC-17;Проверка различных сценариев авторизации;Авторизация;Средний;На экране авторизации;1. Оба поля пустые → "Логин и пароль не могут быть пустыми"¶2. Логин пустой, пароль есть → "Что-то пошло не так..."¶3. Логин есть, пароль пустой → "Что-то пошло не так..."¶4. Оба поля неверные → "Что-то пошло не так..."¶5. Оба поля верные → успешный вход;Корректные сообщения для каждого сценария, успешный вход при верных данных;Сообщения соответствуют описанию, но валидация неполная (один пустой = серверная ошибка);Pass (с замечанием);Да;
TC-18;Восстановление работы после бесконечной загрузки;Баги;Высокий;На главном экране с активной бесконечной загрузкой;1. Создать состояние бесконечной загрузки (быстрое обновление)¶2. Перейти в раздел "Цитаты"¶3. Вернуться на главный экран¶4. Проверить, что индикатор загрузки исчез¶5. Проверить доступность всех элементов¶6. Выполнить обычное обновление;После навигации загрузка останавливается, интерфейс полностью доступен;После перехода в другой раздел и возврата интерфейс восстанавливается, элементы доступны;Pass (workaround);Да;
TC-19;Проверка свайп-обновления на разных экранах;Функциональность;Средний;На главном экране, в новостях, цитатах;1. На каждом экране выполнить свайп вниз¶2. Проверить появление индикатора¶3. Дождаться завершения¶4. Проверить обновление данных¶5. Проверить отображение ошибки при отсутствии сети;Swipe-to-refresh работает на всех экранах, данные обновляются;На главной и в новостях работает, в цитатах не работает;Fail;Да;
TC-20;Проверка соответствия дизайна макетам;UI;Низкий;На всех экранах приложения;1. Сравнить каждый экран со скриншотами/макетами¶2. Проверить:¶   - Шрифты и размеры¶   - Цвета и отступы¶   - Расположение элементов¶   - Выравнивание;Полное соответствие дизайнерским макетам;Визуально соответствует предоставленным скриншотам, небольшие различия в отступах;Pass;Нет;Требуются оригинальные макеты дизайнера
BUG-01;Бесконечная загрузка при быстром обновлении главного экрана;Баги;Критический;На главном экране приложения;1. Быстро выполнить свайп вниз 3-4 раза подряд¶2. Проверить индикатор загрузки¶3. Подождать 60 секунд¶4. Попробовать другие действия (кроме навигации)¶5. Проверить системные логи;Загрузка завершается или появляется сообщение об ошибке/таймауте;Индикатор загрузки крутится бесконечно, приложение частично блокировано;Fail;Нет;Критический баг, требует детального анализа логики обновления
BUG-02;Неинформативное сообщение об ошибке авторизации;Авторизация;Средний;На экране авторизации с неверными данными;1. Ввести неверный логин/пароль¶2. Нажать "Войти"¶3. Проанализировать сообщение¶4. Сравнить с лучшими практиками UX;Информативное сообщение (например, "Неверный логин или пароль");Сообщение "Что-то пошло не так. Попробуйте позже." не помогает пользователю;Pass (с замечанием);Да;
BUG-03;Бесконечная загрузка фиксится только навигацией;Баги;Высокий;На главном экране с активной загрузкой;1. Вызвать бесконечную загрузку¶2. Попробовать:¶   - Ожидание (не помогает)¶   - Свайпы (не помогают)¶   - Нажатие кнопок (не помогает)¶3. Перейти в другой раздел¶4. Вернуться назад;Загрузка должна завершаться самостоятельно или по таймауту;Только навигация в другой раздел и возврат восстанавливает работу;Fail;Да;
BUG-04;Отсутствие валидации при одном пустом поле авторизации;Авторизация;Средний;На экране авторизации;1. Заполнить только логин¶2. Нажать "Войти"¶3. Проверить сообщение¶4. Заполнить только пароль¶5. Нажать "Войти"¶6. Проверить сообщение;Сообщение о пустом поле (например, "Заполните пароль");Сообщение "Что-то пошло не так. Попробуйте позже." вместо валидации;Fail;Да;
BUG-05;Отсутствие функционала обновления в разделе цитат;Цитаты;Низкий;В разделе "Цитаты";1. Выполнить свайп вниз¶2. Проверить индикатор загрузки¶3. Подождать¶4. Проверить обновление цитат¶5. Попробовать несколько раз;Swipe-to-refresh должен обновлять список цитат;Swipe-to-refresh не работает, цитаты не обновляются;Fail;Да;
